0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:04:00 +0700] "GET /BachKhoaNews/introduce/js/jquery.min.js HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:04:00 +0700] "GET /BachKhoaNews/introduce/js/main.js HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:04:00 +0700] "GET /BachKhoaNews/css/bootstrap.css.map HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:04:02 +0700] "GET /BachKhoaNews/introduce/introduce.jsp HTTP/1.1" 200 27155
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:04:02 +0700] "GET /BachKhoaNews/introduce/img/main-logo.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:04:02 +0700] "GET /BachKhoaNews/introduce/js/jquery.min.js HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:04:02 +0700] "GET /BachKhoaNews/introduce/js/main.js HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:04:02 +0700] "GET /BachKhoaNews/css/bootstrap.css.map HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:04:09 +0700] "GET /BachKhoaNews/introduce/introduce.jsp HTTP/1.1" 200 27155
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:04:09 +0700] "GET /BachKhoaNews/introduce/introduce.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:04:09 +0700] "GET /BachKhoaNews/introduce/js/jquery.min.js HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:04:09 +0700] "GET /BachKhoaNews/introduce/js/main.js HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:04:09 +0700] "GET /BachKhoaNews/introduce/img/main-logo.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:04:09 +0700] "GET /BachKhoaNews/img/about-us.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:04:09 +0700] "GET /BachKhoaNews/introduce/js/main.js HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:04:26 +0700] "GET /BachKhoaNews/introduce/introduce.jsp HTTP/1.1" 200 27157
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:04:26 +0700] "GET /BachKhoaNews/introduce/img/main-logo.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:04:38 +0700] "GET /BachKhoaNews/css/bootstrap.css.map HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:05:24 +0700] "GET /BachKhoaNews/introduce/introduce.jsp HTTP/1.1" 200 27209
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:05:25 +0700] "GET /BachKhoaNews/introduce/introduce.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:05:25 +0700] "GET /BachKhoaNews/img/about-us.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:05:25 +0700] "GET /BachKhoaNews/introduce/img/main-logo.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:05:25 +0700] "GET /BachKhoaNews/css/bootstrap.css.map HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:05:30 +0700] "GET /BachKhoaNews/introduce/Resgister/resgister.jsp HTTP/1.1" 404 771
