127.0.0.1 - - [02/Jan/2022:15:09:15 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:09:16 +0700] "GET /BachKhoaNews/css/bootstrap.css HTTP/1.1" 200 205484
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:09:16 +0700] "GET /BachKhoaNews/css/owl.carousel.min.css HTTP/1.1" 200 3351
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:09:16 +0700] "GET /BachKhoaNews/css/shared.css HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:09:16 +0700] "GET /BachKhoaNews/css/style.css HTTP/1.1" 200 10739
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:09:16 +0700] "GET /BachKhoaNews/css/owl.theme.default.min.css HTTP/1.1" 200 1013
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:09:16 +0700] "GET /BachKhoaNews/img/main-logo.png HTTP/1.1" 200 47502
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:09:16 +0700] "GET /BachKhoaNews/img/main-news.webp HTTP/1.1" 200 169760
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:09:16 +0700] "GET /BachKhoaNews/img/quynhdanh6.webp HTTP/1.1" 200 87344
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:09:17 +0700] "GET /BachKhoaNews/img/banh-kem.webp HTTP/1.1" 200 101634
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:09:17 +0700] "GET /BachKhoaNews/css/responsive.css HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:09:17 +0700] "GET /BachKhoaNews/img/Trang_xau_2.webp HTTP/1.1" 200 7406
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:09:17 +0700] "GET /BachKhoaNews/img/jun-vu.webp HTTP/1.1" 200 18712
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:09:17 +0700] "GET /BachKhoaNews/img/nxb_th.webp HTTP/1.1" 200 25248
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:09:17 +0700] "GET /BachKhoaNews/img/caterory.webp HTTP/1.1" 200 29106
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:09:17 +0700] "GET /BachKhoaNews/img/dai_tuong_vo_nguyen_giap.webp HTTP/1.1" 200 16300
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:09:17 +0700] "GET /BachKhoaNews/home.jsp HTTP/1.1" 200 48685
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:09:17 +0700] "GET /BachKhoaNews/js/main.js HTTP/1.1" 200 1330
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:09:17 +0700] "GET /BachKhoaNews/img/thumb_story.webp HTTP/1.1" 200 39882
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:09:17 +0700] "GET /BachKhoaNews/js/owl.carousel.min.js HTTP/1.1" 200 44342
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:09:18 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:10:08 +0700] "GET /BachKhoaNews/css/bootstrap.css.map HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:11:01 +0700] "GET /BachKhoaNews/home.jsp HTTP/1.1" 200 48685
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:11:01 +0700] "GET /BachKhoaNews/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:11:05 +0700] "GET /BachKhoaNews/css/bootstrap.css.map HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:11:14 +0700] "GET /BachKhoaNews/home.jsp HTTP/1.1" 200 48685
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:11:14 +0700] "GET /BachKhoaNews/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:11:17 +0700] "GET /BachKhoaNews/css/bootstrap.css.map HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:15:07 +0700] "GET /BachKhoaNews/home.jsp HTTP/1.1" 200 48685
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:15:07 +0700] "GET /BachKhoaNews/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:15:10 +0700] "GET /BachKhoaNews/css/bootstrap.css.map HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:18:26 +0700] "GET /BachKhoaNews/home.jsp HTTP/1.1" 200 48685
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:18:26 +0700] "GET /BachKhoaNews/css/owl.theme.default.min.css HTTP/1.1" 200 1013
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:18:26 +0700] "GET /BachKhoaNews/css/owl.carousel.min.css HTTP/1.1" 200 3351
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:18:26 +0700] "GET /BachKhoaNews/css/shared.css HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:18:26 +0700] "GET /BachKhoaNews/css/style.css HTTP/1.1" 200 10862
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:18:26 +0700] "GET /BachKhoaNews/css/bootstrap.css HTTP/1.1" 200 205484
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:18:26 +0700] "GET /BachKhoaNews/css/responsive.css HTTP/1.1" 200 438
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:18:26 +0700] "GET /BachKhoaNews/js/main.js HTTP/1.1" 200 1330
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:18:26 +0700] "GET /BachKhoaNews/js/owl.carousel.min.js HTTP/1.1" 200 44342
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:18:26 +0700] "GET /BachKhoaNews/img/main-logo.png HTTP/1.1" 200 47502
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:18:26 +0700] "GET /BachKhoaNews/img/quynhdanh6.webp HTTP/1.1" 200 87344
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:18:26 +0700] "GET /BachKhoaNews/img/Trang_xau_2.webp HTTP/1.1" 200 7406
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:18:26 +0700] "GET /BachKhoaNews/img/main-news.webp HTTP/1.1" 200 169760
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:18:26 +0700] "GET /BachKhoaNews/img/jun-vu.webp HTTP/1.1" 200 18712
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:18:27 +0700] "GET /BachKhoaNews/img/banh-kem.webp HTTP/1.1" 200 101634
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:18:27 +0700] "GET /BachKhoaNews/img/nxb_th.webp HTTP/1.1" 200 25248
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:18:27 +0700] "GET /BachKhoaNews/img/caterory.webp HTTP/1.1" 200 29106
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:18:27 +0700] "GET /BachKhoaNews/img/dai_tuong_vo_nguyen_giap.webp HTTP/1.1" 200 16300
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:18:27 +0700] "GET /BachKhoaNews/img/thumb_story.webp HTTP/1.1" 200 39882
0:0:0:0:0:0:0:1 - - [02/Jan/2022:15:18:29 +0700] "GET /BachKhoaNews/css/bootstrap.css.map HTTP/1.1" 404 793
