127.0.0.1 - - [04/Jan/2022:22:35:57 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Jan/2022:22:35:58 +0700] "GET /BachKhoaNews/Resgister/login.jsp HTTP/1.1" 200 2416
0:0:0:0:0:0:0:1 - - [04/Jan/2022:22:35:58 +0700] "GET /BachKhoaNews/Resgister/style-resgister.css HTTP/1.1" 200 2428
0:0:0:0:0:0:0:1 - - [04/Jan/2022:22:35:58 +0700] "GET /BachKhoaNews/Resgister/validator.js HTTP/1.1" 200 7178
0:0:0:0:0:0:0:1 - - [04/Jan/2022:22:35:58 +0700] "GET /BachKhoaNews/css/shared.css HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [04/Jan/2022:22:35:58 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Jan/2022:22:36:02 +0700] "GET /BachKhoaNews/Resgister/register.jsp HTTP/1.1" 404 756
0:0:0:0:0:0:0:1 - - [04/Jan/2022:22:42:17 +0700] "GET /BachKhoaNews/Resgister/login.jsp HTTP/1.1" 200 2429
0:0:0:0:0:0:0:1 - - [04/Jan/2022:22:42:17 +0700] "GET /BachKhoaNews/Resgister/style-resgister.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2022:22:42:17 +0700] "GET /BachKhoaNews/Resgister/validator.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2022:22:42:35 +0700] "GET /BachKhoaNews/Resgister/login.jsp HTTP/1.1" 200 2395
0:0:0:0:0:0:0:1 - - [04/Jan/2022:22:43:28 +0700] "GET /BachKhoaNews/Resgister/login.jsp HTTP/1.1" 200 2416
0:0:0:0:0:0:0:1 - - [04/Jan/2022:22:43:30 +0700] "GET /BachKhoaNews/Resgister/register.jsp HTTP/1.1" 404 756
0:0:0:0:0:0:0:1 - - [04/Jan/2022:22:44:08 +0700] "GET /BachKhoaNews/Resgister/login.jsp HTTP/1.1" 200 2417
0:0:0:0:0:0:0:1 - - [04/Jan/2022:22:44:08 +0700] "GET /BachKhoaNews/Resgister/validator.js HTTP/1.1" 304 -
